applicant_id,age,gender,education,employment_type,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,monthly_expenses,emi_estimate,dti_ratio,assets_value,has_collateral,co_applicant,loan_purpose,loan_approved
APP0001,59,Female,High School,Self-Employed,607014,485686,24,14.2,556,3,30009,23365,63.99,2326316,1,0,Education,1
APP0002,49,Male,Bachelor's,Salaried,1182868,535287,120,11.18,580,2,55241,7428,24.35,2756241,1,1,Home,1
APP0003,35,Female,Bachelor's,Self-Employed,1047516,1936668,120,17.25,689,4,40725,33966,52.91,4749943,1,1,Personal,1
APP0004,63,Female,High School,Salaried,899597,1920458,36,8.19,710,0,23996,60349,90.1,4874010,1,0,Business,0
APP0005,28,Male,Bachelor's,Salaried,1969433,1810399,120,13.27,674,4,11047,27320,18.67,1170025,0,1,Education,1
APP0006,41,Male,PhD,Business Owner,855538,345901,36,13.7,645,3,33767,11772,30.72,4795292,1,0,Business,1
APP0007,59,Female,Master's,Salaried,448004,128012,48,14.35,645,0,21347,3521,26.58,759774,1,1,Business,1
APP0008,39,Female,PhD,Salaried,1203510,1991758,120,10.18,744,4,29102,26520,35.15,3939115,1,0,Home,1
APP0009,43,Male,Bachelor's,Business Owner,217118,963475,12,11.33,699,0,9263,85302,486.79,2031722,1,0,Education,0
APP0010,31,Female,High School,Self-Employed,1271192,1037751,24,16.36,649,3,72438,50990,68.65,4631813,1,1,Home,1
APP0011,31,Female,Bachelor's,Salaried,331870,106116,12,9.55,796,2,35540,9307,72.2,716696,1,1,Home,1
APP0012,44,Male,Bachelor's,Salaried,1518321,194233,60,16.18,855,2,68769,4742,20.05,808094,1,0,Business,1
APP0013,56,Male,Master's,Salaried,202795,1130728,120,13.41,567,4,45843,17158,182.9,3676424,1,0,Home,0
APP0014,60,Male,High School,Self-Employed,1346038,156379,24,15.5,727,1,32690,7619,15.54,263369,1,0,Business,1
APP0015,44,Female,Bachelor's,Salaried,1687056,1325481,12,14.99,900,3,7994,119629,86.8,929700,0,1,Personal,0
APP0016,23,Male,High School,Salaried,1613612,1119412,120,9.68,705,4,72546,14595,27.04,4975912,1,1,Home,1
APP0017,42,Male,Bachelor's,Unemployed,6589,271439,120,13.47,690,4,12377,4128,1425.44,1590143,1,1,Vehicle,0
APP0018,22,Female,Master's,Salaried,1771480,1285296,48,16.61,674,2,31467,36828,31.34,771668,0,0,Business,1
APP0019,44,Female,Bachelor's,Salaried,1513804,1255979,48,12.04,724,0,5048,33099,27.44,4117472,1,1,Business,1
APP0020,64,Male,Bachelor's,Salaried,1718438,1240411,24,17.65,747,3,41978,61717,51.89,1552151,1,0,Business,1
APP0021,50,Female,Bachelor's,Self-Employed,987163,905876,60,12.25,567,0,52606,20265,43.82,169259,0,1,Education,1
APP0022,58,Male,Bachelor's,Salaried,1380777,667397,48,9.0,677,3,78414,16608,34.88,2344297,1,0,Vehicle,1
APP0023,22,Female,Master's,Salaried,359094,1248835,48,11.59,475,1,54222,32636,163.41,2407777,1,0,Vehicle,0
APP0024,41,Male,Master's,Business Owner,463749,1241605,60,17.49,661,2,53115,31185,121.92,1093128,0,1,Personal,0
APP0025,53,Male,PhD,Salaried,1326082,447595,12,10.86,598,1,45647,39530,48.16,199041,0,0,Education,1
APP0026,32,Female,Master's,Salaried,964601,656306,48,16.62,710,4,59607,18809,45.64,2883309,1,1,Personal,1
APP0027,42,Male,Bachelor's,Salaried,1292706,1745940,36,16.75,530,2,62410,62031,74.96,1448650,0,1,Home,0
APP0028,64,Male,Bachelor's,Salaried,1146769,1781041,84,11.18,633,4,26996,30665,40.56,729846,0,0,Personal,1
APP0029,45,Female,Bachelor's,Salaried,363402,1492669,84,8.37,766,1,59921,23541,137.09,74474,0,0,Business,0
APP0030,47,Female,Bachelor's,Salaried,1054901,1802289,48,15.11,619,3,51022,50260,74.58,1813318,0,1,Vehicle,1
APP0031,62,Female,Master's,Salaried,1394835,1968796,12,10.77,508,4,45148,173794,161.17,3469327,1,1,Vehicle,0
APP0032,48,Female,High School,Salaried,619007,1981878,120,15.72,703,0,72764,32854,106.01,4772832,1,0,Home,0
APP0033,36,Male,Master's,Business Owner,1601156,1838521,12,12.15,627,3,13888,163479,125.64,2434092,1,0,Home,0
APP0034,35,Male,Bachelor's,Unemployed,41430,1444028,24,12.6,663,3,44159,68381,2363.65,3986752,1,1,Home,0
APP0035,64,Male,Bachelor's,Self-Employed,1623061,1543359,36,15.67,614,1,47197,54009,50.4,1833610,0,1,Home,1
APP0036,23,Male,Bachelor's,Business Owner,423034,370057,12,11.51,857,1,29474,32794,118.1,3530053,1,0,Education,0
APP0037,57,Female,Master's,Salaried,709394,576925,60,12.15,539,2,22333,12877,33.12,2349203,1,0,Business,1
APP0038,27,Female,Bachelor's,Unemployed,13026,515994,36,11.45,900,2,41355,17003,2706.81,4110690,1,1,Vehicle,0
APP0039,41,Male,Bachelor's,Salaried,744061,878457,84,11.36,644,0,78903,15208,62.7,1630910,1,1,Home,1
APP0040,29,Male,High School,Unemployed,45927,1860853,36,13.02,696,3,71258,62717,2196.68,4063627,1,1,Personal,0
APP0041,59,Female,Bachelor's,Unemployed,75414,806547,60,15.99,628,0,36145,19609,484.49,708029,0,1,Vehicle,0
APP0042,38,Male,High School,Self-Employed,513559,411652,48,11.3,624,0,54854,10699,63.45,2763357,1,1,Personal,1
APP0043,24,Female,Master's,Unemployed,42946,656752,60,13.0,609,1,72664,14943,1026.37,1066970,1,0,Business,0
APP0044,45,Male,Bachelor's,Self-Employed,693891,1389462,60,14.54,734,0,40285,32721,77.49,2977577,1,1,Home,1
APP0045,34,Female,Bachelor's,Salaried,784718,586119,48,10.33,553,0,22533,14959,33.21,3205060,1,0,Vehicle,1
APP0046,29,Male,High School,Salaried,1498648,163768,48,10.41,712,4,37624,4186,12.39,1216953,1,1,Vehicle,1
APP0047,46,Female,High School,Self-Employed,201515,821271,48,17.3,483,2,51996,23825,234.75,3188356,1,0,Home,0
APP0048,22,Female,Master's,Salaried,297206,1445812,48,15.1,704,2,51947,40311,225.67,2904936,1,0,Home,0
APP0049,40,Male,High School,Self-Employed,445282,927311,48,13.56,756,3,32956,25136,94.38,1528474,1,1,Home,0
APP0050,48,Female,High School,Unemployed,55798,1973378,60,14.3,565,2,56030,46225,1355.33,869403,0,1,Home,0
APP0051,27,Female,High School,Salaried,1042672,962969,24,7.81,741,3,63597,43469,71.99,1219034,1,0,Education,1
APP0052,64,Female,PhD,Self-Employed,205586,1014266,24,13.99,684,4,47443,48693,367.28,2986611,1,1,Vehicle,0
APP0053,28,Male,Master's,Business Owner,1218725,679112,12,12.85,823,2,70464,60609,80.49,450281,0,0,Home,0
APP0054,55,Male,Bachelor's,Business Owner,1108806,1066462,24,13.23,603,4,8952,50817,57.9,906644,0,0,Business,0
APP0055,34,Female,Bachelor's,Unemployed,34484,1187317,84,11.27,900,2,61880,20499,1358.87,4673024,1,1,Vehicle,0
APP0056,37,Male,Bachelor's,Salaried,1804050,1117406,24,8.36,464,2,57201,50721,45.15,3154267,1,0,Home,1
APP0057,56,Female,Master's,Unemployed,34028,1415764,60,9.53,650,4,47460,29754,1550.83,4326639,1,1,Home,0
APP0058,60,Female,Bachelor's,Self-Employed,1987023,910380,48,17.48,527,0,27796,26496,21.04,3985977,1,0,Home,1
APP0059,24,Female,High School,Salaried,1633710,119202,48,11.79,846,0,36746,3127,10.39,3386038,1,1,Education,1
APP0060,22,Male,High School,Salaried,1597749,349189,120,12.4,656,0,5015,5091,4.95,3352601,1,1,Home,1
APP0061,26,Male,High School,Self-Employed,744999,267394,120,8.05,664,0,54757,3251,31.7,3456979,1,0,Education,1
APP0062,62,Female,Bachelor's,Salaried,1827826,1609049,120,7.89,719,2,30957,19429,18.85,3012824,1,0,Vehicle,1
APP0063,24,Female,Master's,Self-Employed,220039,1300699,60,15.03,679,1,26292,30964,211.87,1410375,0,1,Vehicle,0
APP0064,49,Male,Bachelor's,Self-Employed,1809425,1992517,84,13.15,626,4,36876,36410,31.48,580420,0,1,Home,1
APP0065,38,Female,High School,Salaried,406555,207699,24,12.84,566,1,65727,9859,87.3,4299798,1,0,Education,0
APP0066,46,Female,High School,Self-Employed,1739663,327342,60,10.05,695,1,52046,6963,15.57,1887987,1,0,Vehicle,1
APP0067,64,Male,PhD,Self-Employed,1198899,905953,12,15.32,714,3,19817,81907,87.93,4782389,1,0,Personal,0
APP0068,54,Female,Bachelor's,Salaried,1468306,554655,48,9.27,742,0,14759,13874,14.96,3197526,1,0,Business,1
APP0069,30,Male,Master's,Salaried,201577,1729335,120,9.49,852,2,53432,22368,228.57,3817738,1,0,Vehicle,0
APP0070,56,Male,Bachelor's,Salaried,307792,1914483,36,12.34,484,0,11412,63900,262.47,1318154,0,0,Education,0
APP0071,34,Male,Bachelor's,Salaried,1145854,286824,12,10.51,673,0,62757,25284,46.2,816460,1,1,Education,1
APP0072,51,Female,Bachelor's,Business Owner,1487116,1610790,120,10.1,787,1,25504,21376,23.42,3736574,1,1,Personal,1
APP0073,35,Male,High School,Salaried,1151302,1117979,84,14.27,668,3,13507,21118,26.23,2164725,1,1,Home,1
APP0074,28,Male,Bachelor's,Self-Employed,1477082,1102257,12,14.34,469,0,26050,99145,86.89,2564660,1,1,Personal,0
APP0075,34,Male,Master's,Salaried,1985353,403699,60,16.16,563,4,9820,9852,7.74,4539427,1,1,Business,1
APP0076,43,Male,Bachelor's,Salaried,210785,1978130,24,11.89,709,4,12835,93016,551.43,278747,0,1,Business,0
APP0077,60,Female,Bachelor's,Business Owner,1320803,1098072,48,8.27,706,0,18587,26947,29.55,2425237,1,1,Home,1
APP0078,41,Male,High School,Self-Employed,1105112,1738124,84,10.37,740,1,62732,29188,52.13,4236901,1,1,Vehicle,1
